date,kcci,kuwi,kuei
2022-11-07,2892,1934,5383
2022-11-14,2706,1851,5044
2022-11-21,2429,1726,4578
2022-11-28,2260,1623,4148
2022-12-05,2093,1582,3772
2022-12-12,2022,1553,3615
2022-12-19,1936,1550,3445
2022-12-26,1891,1516,3384
2023-01-02,1835,1518,3289
2023-01-09,1738,1510,3184
2023-01-16,1701,1515,3098
2023-01-23,1668,1506,3045
2023-01-30,1638,1478,2972
2023-02-06,1574,1447,2887
2023-02-13,1560,1433,2840
2023-02-20,1542,1417,2795
2023-02-27,1496,1364,2690
2023-03-06,1448,1327,2574
2023-03-13,1401,1313,2458
2023-03-20,1353,1253,2334
2023-03-27,1317,1218,2249
2023-04-03,1229,1217,2151
2023-04-10,1218,1193,2089
2023-04-17,1269,1324,2229
2023-04-24,1368,1568,2507
2023-05-01,1346,1455,2440
2023-05-08,1346,1468,2432
2023-05-15,1324,1413,2407
2023-05-22,1328,1409,2482
2023-05-29,1303,1340,2399
2023-06-05,1357,1574,2657
2023-06-12,1328,1516,2546
2023-06-19,1288,1406,2368
2023-06-26,1261,1340,2262
2023-07-03,1231,1362,2290
2023-07-10,1227,1410,2366
2023-07-17,1237,1491,2452
2023-07-24,1270,1660,2579
2023-07-31,1292,1714,2690
2023-08-07,1377,1936,2929
2023-08-14,1390,1969,2995
2023-08-21,1411,2023,3088
2023-08-28,1370,1965,3004
2023-09-04,1362,2007,3038
2023-09-11,1332,1964,2970
2023-09-18,1284,1924,2793
2023-09-25,1236,1842,2609
2023-10-09,1170,1768,2350
2023-10-16,1157,1768,2340
2023-10-23,1167,1739,2323
2023-10-30,1199,1816,2369
2023-11-06,1284,2035,2492
2023-11-13,1262,1906,2423
2023-11-20,1255,1814,2398
2023-11-27,1254,1772,2422
2023-12-04,1269,1709,2452
2023-12-11,1280,1700,2468
2023-12-18,1344,1800,2744
2023-12-25,1421,1852,2896
2024-01-01,1557,2032,3041
2024-01-08,1934,2499,3665
2024-01-15,2238,2886,4353
2024-01-22,2620,3798,5440
2024-01-29,2734,4199,5813
2024-02-05,2831,4902,6270
2024-02-12,2742,4739,6070
2024-02-19,2729,4740,6068
2024-02-26,2703,4678,6005
2024-03-04,2632,4477,5917
2024-03-11,2533,4218,5693
2024-03-18,2402,3939,5264
2024-03-25,2326,3845,5131
2024-04-01,2216,3594,4721
2024-04-08,2149,3321,4266
2024-04-15,2145,3219,4111
2024-04-22,2183,3175,4042
2024-04-29,2278,3329,4225
2024-05-06,2606,4014,5068
2024-05-13,2717,4132,5206
2024-05-20,3158,4902,5940
2024-05-27,3367,5070,6190
2024-06-03,3743,5620,6765
2024-06-10,4043,5955,7109
2024-06-17,4306,6422,7552
2024-06-24,4572,6908,8040
2024-07-01,4778,7232,8539
2024-07-08,5135,7851,9664
2024-07-15,5133,7692,9731
2024-07-22,5044,7397,9760
2024-07-29,4890,6900,9574
2024-08-05,4778,6640,9441
2024-08-12,4673,6343,9283
2024-08-19,4659,6636,9480
2024-08-26,4530,6376,9158
2024-09-02,4467,6369,9054
2024-09-09,4313,6127,8774
2024-09-23,4077,5963,8029
2024-09-30,3740,5677,7296
2024-10-07,3451,5299,6764
2024-10-14,3327,5246,6335
2024-10-21,3209,5157,6156
2024-10-28,3188,5158,6127
2024-11-04,3259,5149,5759
2024-11-11,3256,5068,5704
2024-11-18,3183,4814,5360
2024-11-25,3089,4379,5261
2024-12-02,3013,3898,5073
2024-12-09,3032,3606,4987
2024-12-16,3140,3971,5285
2024-12-23,3265,4500,5693
2024-12-30,3333,4786,5926
2025-01-06,3480,5429,6467
2025-01-13,3378,5195,6313
2025-01-20,3191,4957,6192
2025-02-03,2951,4603,6029
2025-02-10,2801,4555,5870
2025-02-17,2693,4299,5460
2025-02-24,2530,3893,5020
2025-03-03,2323,3305,4390
2025-03-10,2140,2833,3736
2025-03-17,1950,2495,3378
2025-03-24,1825,2317,3256
2025-03-31,1773,2291,3236
2025-04-07,1829,2529,3575
2025-04-14,1800,2566,3606
2025-04-21,1767,2416,3453
2025-04-28,1758,2405,3437
2025-05-12,1752,2514,3495
2025-05-19,1849,2898,3947
2025-05-26,1906,3076,4142
2025-06-02,2186,3785,4860
2025-06-09,2807,5418,6373
2025-06-16,2827,4921,6382
2025-06-23,2711,3963,6195
2025-06-30,2590,3371,5461
2025-07-07,2449,2708,4836
2025-07-14,2394,2500,4679
2025-07-21,2285,2296,3973
2025-07-28,2199,2126,3652
2025-08-04,2131,2090,3412
2025-08-11,2069,2029,3222
2025-08-18,1993,1904,2996
2025-08-25,1940,1849,2899
2025-09-01,1909,1871,2923
2025-09-08,1950,2253,3224
2025-09-15,1915,2296,3268
2025-09-22,1785,2019,3038
2025-09-29,1692,1873,2890
2025-10-20,1698,2040,2925
2025-10-27,1719,2091,2981
2025-11-03,1834,2411,3304
2025-11-10,1848,2464,3073
2025-11-17,1760,2134,2892
2025-11-24,1689,1908,2764
2025-12-01,1677,1820,2642
2025-12-08,1699,1831,2706
2025-12-15,1704,1807,2700
2025-12-22,1806,2116,3070
2025-12-29,1805,2123,3096
2026-01-12,1876,2339,3270
2026-01-19,1898,2513,3533
2026-01-26,1799,2278,3221
2026-02-02,1683,2101,2990
2026-02-09,1597,1958,2854
2026-02-23,1522,1823,2658
2026-03-02,1614,1974,2826
2026-03-09,1767,2036,2962
2026-03-16,1879,2046,3013
2026-03-23,2027,2299,3184
2026-03-30,2094,2362,3196
2026-04-06,2178,2467,3406
2026-04-13,2186,2616,3600
2026-04-20,2193,2725,3728
2026-04-27,2192,2752,3743
